Weight,Color,Class
164.90142459033697,orange,orange
145.85207096486445,red,apple
169.43065614302077,orange,orange
195.69089569224076,red,unknown
142.97539875829992,orange,orange
142.9758912915246,orange,orange
197.37638446522175,yellow,unknown
173.02304187458725,red,apple
135.91576842195144,yellow,banana
166.27680130757895,red,apple
136.09746921562612,orange,orange
136.02810739289228,orange,orange
157.25886814698103,red,apple
92.60159266026606,yellow,banana
98.25246502460902,yellow,banana
133.1313741227708,yellow,banana
119.61506638996728,yellow,banana
159.42741997785822,orange,orange
122.75927773436368,orange,orange
107.63088895994125,orange,orange
193.96946306764661,orange,orange
143.22671098540394,orange,orange
152.02584614063773,yellow,banana
107.2575544135963,yellow,banana
133.6685182642445,yellow,banana
153.32767769129597,yellow,banana
115.47019267733091,orange,orange
161.27094055037017,orange,orange
131.98083930243584,orange,orange
141.2491875062017,red,apple
131.94880163311808,yellow,banana
205.56834553526812,yellow,unknown
149.59508325786197,orange,orange
118.26867213132299,yellow,banana
174.67634736309566,yellow,unknown
113.37469050086933,orange,orange
156.26590785014267,red,apple
91.20989628360672,red,apple
110.15441853304708,red,apple
155.9058370760737,orange,orange
172.1539973998623,yellow,unknown
155.1410484356991,orange,orange
146.5305515283528,orange,orange
140.96688913232134,yellow,banana
105.64434028897718,red,apple
128.40467374815873,red,apple
136.18083687120637,orange,orange
181.71366678656747,red,unknown
160.30854868705384,orange,orange
97.10879533911799,orange,orange
159.72251908184384,yellow,banana
138.4475315875105,yellow,banana
129.69233999082124,yellow,banana
168.35028866522603,orange,orange
180.92998567487854,yellow,unknown
177.93840357348597,red,apple
124.82347430332084,red,apple
140.72362872446357,orange,orange
159.93790294210692,orange,orange
179.26635381367078,yellow,unknown
135.6247728646413,orange,orange
144.43023070008547,orange,orange
116.80995077981916,red,apple
114.11380127757988,red,apple
174.37577467182595,yellow,unknown
190.68720085712468,orange,orange
147.83969635258998,orange,orange
180.10598693676073,red,unknown
160.84908075142903,orange,orange
130.6464073618463,red,apple
160.8418681652524,yellow,unknown
196.1410969939791,red,unknown
148.92521882670147,orange,orange
196.9393096744202,yellow,unknown
71.40764687730767,red,apple
